Database,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Percent
KEGG,1,hsa00670 One carbon pool by folate,Hsa00670 one carbon pool by folate,7/136,20/1689,0.000599105034153297,0.0413382473565775,0.0390994864394783,MTHFD2 ALDH1L2 ATIC ALDH1L1 TYMS SHMT1 SHMT2,7,5.14705882352941
KEGG,1,hsa00900 Terpenoid backbone biosynthesis,Hsa00900 terpenoid backbone biosynthesis,6/136,23/1689,0.00782772249488705,0.270056426073603,0.255430944569999,MVK HMGCS1 ACAT2 FDPS PMVK MVD,6,4.41176470588235
KEGG,1,hsa00340 Histidine metabolism,Hsa00340 histidine metabolism,5/136,22/1689,0.0270551529875171,0.420882187000087,0.398088414858968,ASPA ALDH1B1 AMDHD1 ALDH9A1 CARNS1,5,3.67647058823529
KEGG,1,hsa01240 Biosynthesis of cofactors,Hsa01240 biosynthesis of cofactors,19/136,153/1689,0.0322488537045644,0.420882187000087,0.398088414858968,"GCLC MTHFD2 QPRT AK1 KMO CMPK2 RFK PSAT1 ALDH1B1 MMAB 
 AK3 MAT1A TDO2 NMNAT2 SHMT1 NQO1 SHMT2 PDXP NME2",19,13.9705882352941
KEGG,1,hsa00480 Glutathione metabolism,Hsa00480 glutathione metabolism,9/136,57/1689,0.0349715241482045,0.420882187000087,0.398088414858968,GCLC MGST2 SMS ODC1 CHAC1 RRM1 GSTA4 RRM2 GPX3,9,6.61764705882353
KEGG,1,hsa00240 Pyrimidine metabolism,Hsa00240 pyrimidine metabolism,9/136,58/1689,0.0386444928880389,0.420882187000087,0.398088414858968,UCK1 CMPK2 UCK2 RRM1 RRM2 TYMS DCTPP1 ENPP1 NME2,9,6.61764705882353
KEGG,1,hsa00330 Arginine and proline metabolism,Hsa00330 arginine and proline metabolism,8/136,50/1689,0.0426981928840668,0.420882187000087,0.398088414858968,NOS1 SMS ODC1 ARG1 AMD1 ALDH1B1 ALDH9A1 CARNS1,8,5.88235294117647
KEGG,1,hsa00561 Glycerolipid metabolism,Hsa00561 glycerolipid metabolism,9/136,63/1689,0.0609631594062395,0.525807249878816,0.497331037261428,DGKG PNPLA3 LPIN2 LPIN1 DGKB ALDH1B1 ALDH9A1 LIPC PLPP4,9,6.61764705882353
KEGG,1,hsa00380 Tryptophan metabolism,Hsa00380 tryptophan metabolism,6/136,42/1689,0.115842970624193,0.82053102380438,0.776093416870657,KMO ACAT2 ALDH1B1 CYP1A1 ALDH9A1 TDO2,6,4.41176470588235
KEGG,1,hsa00270 Cysteine and methionine metabolism,Hsa00270 cysteine and methionine metabolism,7/136,52/1689,0.118917539681794,0.82053102380438,0.776093416870657,GCLC PHGDH MTAP SMS AMD1 PSAT1 MAT1A,7,5.14705882352941
KEGG,1,hsa01040 Biosynthesis of unsaturated fatty acids,Hsa01040 biosynthesis of unsaturated fatty acids,4/136,27/1689,0.167099917659093,0.911854811032754,0.862471369702987,FADS2 FADS1 ELOVL6 ACOT1,4,2.94117647058824
KEGG,1,"hsa00250 Alanine, aspartate and glutamate metabolism","Hsa00250 alanine, aspartate and glutamate metabolism",5/136,37/1689,0.171798732513417,0.911854811032754,0.862471369702987,ASPA ASS1 ASRGL1 RIMKLA GFPT1,5,3.67647058823529
KEGG,1,hsa00760 Nicotinate and nicotinamide metabolism,Hsa00760 nicotinate and nicotinamide metabolism,5/136,37/1689,0.171798732513417,0.911854811032754,0.862471369702987,SIRT2 QPRT NAMPT NMNAT2 ENPP1,5,3.67647058823529
KEGG,1,"hsa00260 Glycine, serine and threonine metabolism","Hsa00260 glycine, serine and threonine metabolism",5/136,40/1689,0.215107871348934,0.988269812599322,0.934747953945965,PHGDH SARDH PSAT1 SHMT1 SHMT2,5,3.67647058823529
KEGG,1,hsa00230 Purine metabolism,Hsa00230 purine metabolism,13/136,128/1689,0.223742221417006,0.988269812599322,0.934747953945965,"AK1 PDE10A PDE11A ATIC PRUNE1 AK3 GUCY1A2 HPRT1 RRM1 RRM2 
 ADCY5 ENPP1 NME2",13,9.55882352941176
KEGG,1,hsa01230 Biosynthesis of amino acids,Hsa01230 biosynthesis of amino acids,8/136,75/1689,0.252201381417772,0.988269812599322,0.934747953945965,PHGDH ARG1 ASS1 PSAT1 MAT1A SHMT1 TALDO1 SHMT2,8,5.88235294117647
