"uniprot","kegg"
"1","O75891","10840"
"2","Q53H87","10840"
"3","P53816","11145"
"4","P36222","1116"
"5","Q9Y2J8","11240"
"6","Q96PC2","117283"
"7","Q5TAQ4","117283"
"8","A8K1M0","117283"
"9","Q8WWR8","129807"
"10","B3KR54","129807"
"11","Q9H598","140679"
"12","Q86VL8","146802"
"13","P04798","1543"
"14","A0N0X8","1543"
"15","P20815","1577"
"16","Q9Y6T7","1607"
"17","P12821","1636"
"18","B4DKH4","1636"
"19","Q9UL12","1757"
"20","A8K596","1757"
"21","Q5VZY2","196051"
"22","Q92935","2134"
"23","P33121","2180"
"24","A8K9T3","2180"
"25","P47895","220"
"26","Q8IXJ6","22933"
"27","Q9BZQ4","23057"
"28","P31513","2328"
"29","Q53FW5","2328"
"30","A0A024R8Z4","2328"
"31","Q15274","23475"
"32","V9HWJ5","23475"
"33","B4DDH4","23475"
"34","P16442","28"
"35","A0A089QDC1","28"
"36","P33402","2977"
"37","Q96EY8","326625"
"38","P05089","383"
"39","Q9BWD1","39"
"40","Q6ZNF0","390928"
"41","Q00266","4143"
"42","Q9GZX3","4166"
"43","P16455","4255"
"44","B4DEE8","4255"
"45","A6NNE9","441061"
"46","Q13126","4507"
"47","Q03426","4598"
"48","B2RDU6","4598"
"49","P50993","477"
"50","A0A0S2Z3W6","477"
"51","P29475","4842"
"52","B3VK56","4842"
"53","A0PJJ7","4842"
"54","B4DG68","4842"
"55","P11926","4953"
"56","Q9NZ20","50487"
"57","Q9HCQ5","50614"
"58","J3KNN1","50614"
"59","Q9HBG4","50617"
"60","P22413","5167"
"61","Q96EQ8","54941"
"62","Q8IZD6","55356"
"63","Q9NY59","55512"
"64","A8K0T6","55512"
"65","Q9NR63","56603"
"66","Q9P2P5","57520"
"67","A5YM72","57571"
"68","Q9HBI6","57834"
"69","Q86TX2","641371"
"70","E9KL42","641371"
"71","P15907","6480"
"72","P54219","6570"
"73","Q96GL6","6570"
"74","P08294","6649"
"75","A0A140VJU8","6649"
"76","P48775","6999"
"77","Q92626","7837"
"78","Q96FL9","79623"
"79","Q99999","9514"
"80","P50876","9781"
"81","E7ER08",NA
"82","B7Z543",NA
"83","B7Z3M2",NA
"84","A0A0A0MRF5",NA
"85","A0A024R0G8",NA
"86","A0A024R791",NA
"87","B7Z3P6",NA
"88","B7Z301",NA
"89","F5H8H2",NA
"90","B4DXF8",NA
"91","A0A024RA98",NA
"92","A0A024R1D7",NA
"93","B2R7S4",NA
"94","A0A024R969",NA
"95","A0A2C9F2N4",NA
"96","E7EMT5",NA
"97","B4E0R0",NA
"98","E7EPM6",NA
"99","B7Z5C5",NA
"100","A0A024R561",NA
"101","A0A024RC95",NA
"102","H0Y2X5",NA
"103","Q7Z3A2",NA
"104","B7Z3R3",NA
"105","Q3KR05",NA
