"uniprot","kegg"
"1","Q9UDR5","10157"
"2","A4D0W4","10157"
"3","P21964","1312"
"4","A0A140VJG8","1312"
"5","Q6Y288","145173"
"6","P32321","1635"
"7","P07099","2052"
"8","R4SBI6","2052"
"9","Q8IYK4","23127"
"10","Q96GR2","23205"
"11","B3KNS7","23205"
"12","Q8IYP9","254887"
"13","B3KXV3","254887"
"14","Q99259","2571"
"15","Q8IVA8","2571"
"16","A0A0S2Z3V5","2571"
"17","P48728","275"
"18","P19961","280"
"19","Q8NC42","284996"
"20","Q9ULC8","29801"
"21","P27987","3707"
"22","B2R9J0","3707"
"23","P04180","3931"
"24","A0A140VK24","3931"
"25","P38571","3988"
"26","P14415","482"
"27","P19021","5066"
"28","Q16875","5209"
"29","Q9HAT2","54414"
"30","Q9HCC8","54857"
"31","Q9H2J7","55117"
"32","Q9NS84","56548"
"33","P28288","5825"
"34","Q92781","5959"
"35","Q02338","622"
"36","Q9UP95","6560"
"37","Q16348","6565"
"38","Q92187","7903"
"39","Q8TEB7","79589"
"40","Q9HAB8","79717"
"41","Q8TBX8","79837"
"42","B3KQV3","79837"
"43","Q01650","8140"
"44","O60704","8459"
"45","Q96GR4","84885"
"46","O14495","8613"
"47","Q9Y6R1","8671"
"48","O15374","9122"
"49","O60243","9394"
"50","Q9Y663","9955"
"51","Q8IXG2",NA
"52","Q9NW50",NA
"53","A0A024RD97",NA
"54","A5JJ20",NA
"55","B7Z2Y6",NA
"56","A0A0A0MT32",NA
"57","B4DF30",NA
"58","A0A024R1G9",NA
"59","A0A024RB18",NA
"60",NA,NA
"61","A0A024R2U7",NA
"62","O43832",NA
"63","B7Z8A0",NA
"64","E9PAP7",NA
"65","B4DF84",NA
"66","B3KT92",NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
