"SYMBOL","UNIPROT"
"1","AASS","A4D0W4"
"2","AASS","Q9UDR5"
"3","SLC6A15","Q8IXG2"
"4","SLC6A15","Q9H2J7"
"5","SLC6A15","Q9NW50"
"6","SLC4A4","A0A024RD97"
"7","SLC4A4","Q9Y6R1"
"8","SLC4A4","A5JJ20"
"9","COMT","A0A140VJG8"
"10","COMT","P21964"
"11","ZDHHC8","Q9ULC8"
"12","SLC7A5","Q01650"
"13","ACSBG1","B7Z2Y6"
"14","ACSBG1","Q96GR2"
"15","ACSBG1","B3KNS7"
"16","LIPA","P38571"
"17","LIPA","A0A0A0MT32"
"18","SIAE","Q9HAT2"
"19","ST8SIA4","Q92187"
"20","ABCD3","P28288"
"21","SLC12A4","B4DF30"
"22","SLC12A4","Q9UP95"
"23","PPCS","Q9HAB8"
"24","TPST2","A0A024R1G9"
"25","TPST2","O60704"
"26","GAD1","A0A0S2Z3V5"
"27","GAD1","Q8IVA8"
"28","GAD1","Q99259"
"29","DCTD","P32321"
"30","ATP1B2","P14415"
"31","GDPD2","Q9HCC8"
"32","RNF128","Q8TEB7"
"33","RDH5","A0A024RB18"
"34","RDH5","Q92781"
"35","HS6ST1","O60243"
"36","
PDE5A",NA
"37","ITPKB","B2R9J0"
"38","ITPKB","P27987"
"39","EPHX1","P07099"
"40","EPHX1","R4SBI6"
"41","AMT","A0A024R2U7"
"42","AMT","P48728"
"43","PAM","P19021"
"44","PAM","O43832"
"45","CHST7","Q9NS84"
"46","HS3ST3A1","Q9Y663"
"47","ZDHHC12","Q96GR4"
"48","BDH1","Q02338"
"49","PLPP3","O14495"
"50","RNF149","Q8NC42"
"51","SLC15A2","Q16348"
"52","PIP4K2C","B3KQV3"
"53","PIP4K2C","Q8TBX8"
"54","SLC16A4","O15374"
"55","PFKFB3","B7Z8A0"
"56","PFKFB3","Q16875"
"57","ZDHHC23","B3KXV3"
"58","ZDHHC23","Q8IYP9"
"59","ZDHHC23","E9PAP7"
"60","B3GLCT","Q6Y288"
"61","COLGALT2","B4DF84"
"62","COLGALT2","Q8IYK4"
"63","COLGALT2","B3KT92"
"64","MT-ND5",NA
"65","MT-CO1",NA
"66","MT-ND4",NA
"67","MT-ND1",NA
"68","MT-ATP6",NA
"69","LCAT","A0A140VK24"
"70","LCAT","P04180"
"71","MT-ATP8",NA
"72","AMY2B","P19961"
