"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0000302";"response to reactive oxygen species";0.01572943;1.431378;11;7.6849;0.1208791;2.170179e-07;0.0028557385461;183;1.481387;10;6.750431;0.06578947;0.05464481;2.454225e-06;0.006459029355
"GO:0061304";"retinal blood vessel morphogenesis";0.0004615741;0.04200324;3;71.42306;0.03296703;1.158851e-05;0.05498146016;4;0.03238004;1;30.88322;0.006578947;0.25;0.03199151;0.726451443293103
"GO:0008360";"regulation of cell shape";0.01587723;1.444828;9;6.229114;0.0989011;1.555448e-05;0.05498146016;142;1.149491;9;7.82955;0.05921053;0.06338028;2.353041e-06;0.006459029355
"GO:0002793";"positive regulation of peptide secretion";0.008749148;0.7961725;7;8.792065;0.07692308;1.671296e-05;0.05498146016;93;0.7528359;4;5.313243;0.02631579;0.04301075;0.006902966;0.430068122688
"GO:0042542";"response to hydrogen peroxide";0.009504829;0.8649394;7;8.093052;0.07692308;2.823984e-05;0.0600971905971429;109;0.8823561;7;7.933305;0.04605263;0.06422018;2.963855e-05;0.0278581199607143
"GO:0048513";"animal organ development";0.3085224;28.07554;47;1.674055;0.5164835;2.890294e-05;0.0600971905971429;2936;23.76695;46;1.935461;0.3026316;0.01566757;4.036369e-06;0.00885242994516667
"GO:0071711";"basement membrane organization";0.001922858;0.17498;4;22.85975;0.04395604;3.196902e-05;0.0600971905971429;16;0.1295202;2;15.44161;0.01315789;0.125;0.007251632;0.430068122688
"GO:0034614";"cellular response to reactive oxygen species";0.01054989;0.9600402;7;7.291361;0.07692308;5.429448e-05;0.072406831663;120;0.9714012;6;6.176645;0.03947368;0.05;0.0004361234;0.116301772576923
"GO:0042753";"positive regulation of circadian rhythm";0.002207856;0.2009149;4;19.90893;0.04395604;5.448123e-05;0.072406831663;18;0.1457102;3;20.58882;0.01973684;0.1666667;0.0003881492;0.116301772576923
"GO:0006979";"response to oxidative stress";0.03357881;3.055672;12;3.927123;0.1318681;5.502457e-05;0.072406831663;368;2.978964;11;3.692559;0.07236842;0.0298913;0.0002080055;0.0913762233451613
"GO:0030890";"positive regulation of B cell proliferation";0.004775163;0.4345398;5;11.50643;0.05494505;8.208336e-05;0.0981940849309091;40;0.3238004;3;9.264967;0.01973684;0.075;0.004126251;0.360939605331126
"GO:0002791";"regulation of peptide secretion";0.02517582;2.291;10;4.364906;0.1098901;0.0001024205;0.103847465144444;205;1.659477;7;4.218196;0.04605263;0.03414634;0.001421982;0.199062352531915
"GO:0090087";"regulation of peptide transport";0.02538481;2.310018;10;4.328971;0.1098901;0.0001095402;0.103847465144444;207;1.675667;7;4.177441;0.04605263;0.03381643;0.001503307;0.206062675135417
"GO:0010748";"negative regulation of plasma membrane long-chain fatty acid transport";0.001027958;0.0935442;3;32.0704;0.03296703;0.0001233216;0.103847465144444;4;0.03238004;1;30.88322;0.006578947;0.25;0.03199151;0.726451443293103
"GO:0038063";"collagen-activated tyrosine kinase receptor signaling pathway";0.001066057;0.09701116;3;30.92428;0.03296703;0.0001372037;0.103847465144444;9;0.07285509;1;13.72588;0.006578947;0.1111111;0.07055461;0.948061418018293
"GO:1902531";"regulation of intracellular signal transduction";0.1775173;16.15408;31;1.91902;0.3406593;0.0001402568;0.103847465144444;1778;14.39293;28;1.9454;0.1842105;0.01574803;0.0004546785;0.116301772576923
"GO:0001315";"age-dependent response to reactive oxygen species";0.0001872868;0.0170431;2;117.3495;0.02197802;0.0001420514;0.103847465144444;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;0.430068122688
"GO:0003069";"vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure";0.0001872868;0.0170431;2;117.3495;0.02197802;0.0001420514;0.103847465144444;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;0.430068122688
"GO:0010906";"regulation of glucose metabolic process";0.009006075;0.8195528;6;7.321066;0.06593407;0.000184935;0.12197248167;98;0.793311;4;5.042159;0.02631579;0.04081633;0.008280093;0.430663018920949
"GO:0043066";"negative regulation of apoptotic process";0.08434733;7.675607;19;2.475374;0.2087912;0.0001853826;0.12197248167;834;6.751238;16;2.369936;0.1052632;0.01918465;0.00120879;0.181962801534091
"GO:0034766";"negative regulation of ion transmembrane transport";0.009207445;0.8378775;6;7.160952;0.06593407;0.0002081198;0.124733819840741;83;0.6718858;4;5.953393;0.02631579;0.04819277;0.004622513;0.372898106857988
"GO:0043069";"negative regulation of programmed cell death";0.08553678;7.783847;19;2.440952;0.2087912;0.000221848;0.124733819840741;846;6.848378;16;2.33632;0.1052632;0.01891253;0.001400825;0.198209206182796
"GO:0038065";"collagen-activated signaling pathway";0.001275401;0.1160615;3;25.84836;0.03296703;0.0002317344;0.124733819840741;11;0.08904511;1;11.23026;0.006578947;0.09090909;0.085549;1
"GO:0061299";"retina vasculature morphogenesis in camera-type eye";0.001295758;0.117914;3;25.44228;0.03296703;0.0002426837;0.124733819840741;9;0.07285509;1;13.72588;0.006578947;0.1111111;0.07055461;0.948061418018293
"GO:0060548";"negative regulation of cell death";0.09373861;8.530214;20;2.344607;0.2197802;0.0002505747;0.124733819840741;924;7.479789;17;2.272791;0.1118421;0.01839827;0.001336417;0.19325177256044
"GO:0023051";"regulation of signaling";0.3241843;29.50077;46;1.559281;0.5054945;0.0002551836;0.124733819840741;3376;27.32875;46;1.683209;0.3026316;0.01362559;0.0001482762;0.079007530812
"GO:0099044";"vesicle tethering to endoplasmic reticulum";0.0002518709;0.02292025;2;87.25908;0.02197802;0.0002559323;0.124733819840741;2;0.01619002;1;61.76645;0.006578947;0.5;0.01612492;0.558389006
"GO:0032000";"positive regulation of fatty acid beta-oxidation";0.001367097;0.1244059;3;24.11462;0.03296703;0.0002836827;0.13050201388;9;0.07285509;1;13.72588;0.006578947;0.1111111;0.07055461;0.948061418018293
"GO:0034763";"negative regulation of transmembrane transport";0.009834979;0.8949831;6;6.704037;0.06593407;0.0002953994;0.13050201388;89;0.7204559;4;5.55204;0.02631579;0.04494382;0.005917456;0.423528461027027
"GO:0046010";"positive regulation of circadian sleep/wake cycle, non-REM sleep";0.0002717243;0.02472692;2;80.88352;0.02197802;0.0002975196;0.13050201388;3;0.02428503;1;41.17763;0.006578947;0.3333333;0.02409025;0.661802922233821
"GO:2000192";"negative regulation of fatty acid transport";0.001426982;0.1298554;3;23.10263;0.03296703;0.0003213528;0.134775754024242;7;0.05666507;1;17.64756;0.006578947;0.1428571;0.055316;0.879316208628159
"GO:0050671";"positive regulation of lymphocyte proliferation";0.01416562;1.289071;7;5.430266;0.07692308;0.000327965;0.134775754024242;131;1.060446;5;4.714996;0.03289474;0.03816794;0.004278616;0.367988940810458
"GO:0032946";"positive regulation of mononuclear cell proliferation";0.01423733;1.295597;7;5.402915;0.07692308;0.0003379892;0.134775754024242;132;1.068541;5;4.679276;0.03289474;0.03787879;0.004418634;0.371329797866242
"GO:0030888";"regulation of B cell proliferation";0.006558357;0.5968105;5;8.377868;0.05494505;0.0003533437;0.136754404361765;59;0.4776056;3;6.281334;0.01973684;0.05084746;0.01214455;0.523967650655738
"GO:0070229";"negative regulation of lymphocyte apoptotic process";0.003670311;0.3339983;4;11.97611;0.04395604;0.0003760529;0.141385146031429;30;0.2428503;2;8.235526;0.01315789;0.06666667;0.02441736;0.665234037763975
"GO:0010646";"regulation of cell communication";0.3202675;29.14434;45;1.544039;0.4945055;0.0004096446;0.149736480316667;3326;26.924;46;1.708513;0.3026316;0.01383043;0.0001032275;0.067918533625
"GO:2001234";"negative regulation of apoptotic signaling pathway";0.01951525;1.775887;8;4.50479;0.08791209;0.0004244082;0.150940202805405;208;1.683762;7;4.157357;0.04605263;0.03365385;0.001545308;0.209636164659794
"GO:0070665";"positive regulation of leukocyte proliferation";0.01487601;1.353717;7;5.17095;0.07692308;0.0004385787;0.151713080210256;137;1.109016;5;4.5085;0.03289474;0.03649635;0.005168087;0.390844004787356
"GO:0043271";"negative regulation of ion transport";0.01493882;1.359432;7;5.149208;0.07692308;0.0004496398;0.151713080210256;131;1.060446;5;4.714996;0.03289474;0.03816794;0.004278616;0.367988940810458
"GO:0001836";"release of cytochrome c from mitochondria";0.001627337;0.1480877;3;20.25827;0.03296703;0.0004703797;0.1547431618075;21;0.1699952;2;11.76504;0.01315789;0.0952381;0.01235934;0.528040763181818
"GO:0040017";"positive regulation of locomotion";0.05623302;5.117205;14;2.735869;0.1538462;0.0005573586;0.176250424092857;470;3.804655;11;2.891195;0.07236842;0.02340426;0.001572341;0.211126889989796
