"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0098651";"basement membrane collagen trimer";0.001051455;0.09568244;4;41.80495;0.04395604;3.036417e-06;0.005246928576;8;0.06476008;2;30.88322;0.01315789;0.25;0.001765449;0.6101391744
"GO:0005587";"collagen type IV trimer";0.0006437879;0.0585847;3;51.20791;0.03296703;3.106843e-05;0.0195905088;6;0.04857006;1;20.58882;0.006578947;0.1666667;0.04760388;0.945511547586207
"GO:0032588";"trans-Golgi network membrane";0.006720251;0.6115429;6;9.81125;0.06593407;3.767199e-05;0.0195905088;81;0.6556958;6;9.150585;0.03947368;0.07407407;5.017087e-05;0.08669526336
"GO:0044464";"cell part";0.8978193;81.70156;91;1.11381;1;5.497868e-05;0.0195905088;16405;132.7986;141;1.061758;0.9276316;0.008594941;0.0235222;0.753449965714286
"GO:0005623";"cell";0.898121;81.72901;91;1.113436;1;5.66855e-05;0.0195905088;16433;133.0253;141;1.059949;0.9276316;0.008580296;0.02657818;0.778425339661017
"GO:0098642";"network-forming collagen trimer";0.000952244;0.0866542;3;34.62036;0.03296703;9.851898e-05;0.02837346624;7;0.05666507;1;17.64756;0.006578947;0.1428571;0.055316;0.979131173877551
"GO:0005622";"intracellular";0.8286551;75.40761;87;1.15373;0.956044;0.0002297332;0.0567112813714286;14472;117.151;121;1.032855;0.7960526;0.008360973;0.2615427;1
"GO:1990071";"TRAPPII protein complex";0.0002800449;0.02548408;2;78.48036;0.02197802;0.0003158637;0.0682265592;2;0.01619002;1;61.76645;0.006578947;0.5;0.01612492;0.66342528
"GO:0044420";"extracellular matrix component";0.01547889;1.408579;7;4.969549;0.07692308;0.0005542469;0.0977310144;119;0.9633062;5;5.190458;0.03289474;0.04201681;0.002836101;0.63582624
"GO:0043226";"organelle";0.791172;71.99665;84;1.166721;0.9230769;0.000565573;0.0977310144;13296;107.6313;114;1.059172;0.75;0.008574007;0.1461922;1
"GO:0005604";"basement membrane";0.01189205;1.082177;6;5.544381;0.06593407;0.0007957604;0.125006724654545;92;0.7447409;4;5.370995;0.02631579;0.04347826;0.006647106;0.63582624
"GO:0005802";"trans-Golgi network";0.01732446;1.576526;7;4.440143;0.07692308;0.001065772;0.152600344615385;196;1.586622;7;4.411889;0.04605263;0.03571429;0.001097587;0.474157584
"GO:0005884";"actin filament";0.008537757;0.7769359;5;6.435538;0.05494505;0.001148035;0.152600344615385;88;0.7123609;5;7.018914;0.03289474;0.05681818;0.0007429088;0.4279154688
"GO:0098644";"complex of collagen trimers";0.002477685;0.2254694;3;13.30558;0.03296703;0.001570235;0.193811862857143;20;0.1619002;1;6.176645;0.006578947;0.05;0.1501043;1
"GO:0043234";"protein complex";0.2455514;22.34518;35;1.566333;0.3846154;0.002275496;0.246744864;3181;25.75023;35;1.359211;0.2302632;0.01100283;0.03232083;0.821329327058824
"GO:0005739";"mitochondrion";0.1204675;10.96254;21;1.915615;0.2307692;0.002379058;0.246744864;1706;13.81009;20;1.448217;0.1315789;0.01172333;0.05898987;1
"GO:0044429";"mitochondrial part";0.06571511;5.980075;14;2.341108;0.1538462;0.002447128;0.246744864;1025;8.297385;13;1.566759;0.08552632;0.01268293;0.07263377;1
"GO:0044444";"cytoplasmic part";0.6137674;55.85284;69;1.235389;0.7582418;0.002570259;0.246744864;9360;75.76929;89;1.174618;0.5855263;0.009508547;0.01889787;0.68032332
"GO:1990796";"photoreceptor cell terminal bouton";3.098606e-05;0.002819732;1;354.6437;0.01098901;0.002815803;0.256089872842105;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;0.63582624
"GO:0097059";"CNTFR-CLCF1 complex";3.311359e-05;0.003013337;1;331.858;0.01098901;0.003008851;0.2599647264;2;0.01619002;1;61.76645;0.006578947;0.5;0.01612492;0.66342528
"GO:0030054";"cell junction";0.1410924;12.83941;23;1.79136;0.2527473;0.003376072;0.264722355692308;1216;9.843532;23;2.33656;0.1513158;0.01891447;0.0001205115;0.104121936
"GO:0005829";"cytosol";0.3616374;32.909;46;1.397794;0.5054945;0.003467037;0.264722355692308;4901;39.67364;48;1.209871;0.3157895;0.00979392;0.07532987;1
