"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0030023";"extracellular matrix constituent conferring elasticity";0.0007611637;0.06926589;3;43.31136;0.03296703;5.095295e-05;0.2151233549;5;0.04047505;1;24.70658;0.006578947;0.2;0.03982921;1
"GO:0071889";"14-3-3 protein binding";0.003233022;0.294205;4;13.59596;0.04395604;0.0002333413;0.3560338715;25;0.2023752;2;9.882632;0.01315789;0.08;0.01728787;1
"GO:0048407";"platelet-derived growth factor binding";0.001467438;0.1335369;3;22.4657;0.03296703;0.0003485401;0.3560338715;11;0.08904511;1;11.23026;0.006578947;0.09090909;0.085549;1
"GO:0001601";"peptide YY receptor activity";0.0003045207;0.02771138;2;72.17251;0.02197802;0.0003729482;0.3560338715;3;0.02428503;1;41.17763;0.006578947;0.3333333;0.02409025;1
"GO:0097493";"structural molecule activity conferring elasticity";0.001726293;0.1570927;3;19.09701;0.03296703;0.0005578799;0.3560338715;17;0.1376152;1;7.266641;0.006578947;0.05882353;0.1291054;1
"GO:0001784";"phosphotyrosine binding";0.004188024;0.3811102;4;10.49565;0.04395604;0.0006151191;0.3560338715;35;0.2833253;4;14.11805;0.02631579;0.1142857;0.0001777621;0.18762789655
"GO:0090560";"2-(3-amino-3-carboxypropyl)histidine synthase activity";7.851445e-06;0.0007144815;1;1399.616;0.01098901;0.0007142291;0.3560338715;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;1
"GO:0004784";"superoxide dismutase activity";0.000457623;0.04164369;2;48.02648;0.02197802;0.000834633;0.3560338715;4;0.03238004;1;30.88322;0.006578947;0.25;0.03199151;1
"GO:0043548";"phosphatidylinositol 3-kinase binding";0.004557007;0.4146876;4;9.645814;0.04395604;0.0008406107;0.3560338715;29;0.2347553;2;8.51951;0.01315789;0.06896552;0.02290945;1
"GO:0003841";"1-acylglycerol-3-phosphate O-acyltransferase activity";0.002081208;0.1893899;3;15.84034;0.03296703;0.0009550834;0.3560338715;19;0.1538052;2;13.00346;0.01315789;0.1052632;0.01017089;1
"GO:0042171";"lysophosphatidic acid acyltransferase activity";0.002099388;0.1910443;3;15.70317;0.03296703;0.000979165;0.3560338715;20;0.1619002;2;12.35329;0.01315789;0.1;0.01124145;1
"GO:0051219";"phosphoprotein binding";0.008296587;0.7549894;5;6.622609;0.05494505;0.001011939;0.3560338715;77;0.6233158;6;9.62594;0.03947368;0.07792208;3.763902e-05;0.07945597122
"GO:0045309";"protein phosphorylated amino acid binding";0.005037238;0.4583886;4;8.72622;0.04395604;0.00121418;0.394328304615385;44;0.3561804;5;14.03783;0.03289474;0.1136364;2.739745e-05;0.07945597122
"GO:0016411";"acylglycerol O-acyltransferase activity";0.002421218;0.2203309;3;13.61589;0.03296703;0.001470727;0.443529242428571;28;0.2266603;2;8.823778;0.01315789;0.07142857;0.02144179;1
"GO:0017162";"aryl hydrocarbon receptor binding";0.0009594739;0.08731212;2;22.90633;0.02197802;0.003561852;0.991342488;9;0.07285509;2;27.45175;0.01315789;0.2222222;0.002257819;0.9532511818
"GO:0032934";"sterol binding";0.003379526;0.3075369;3;9.754928;0.03296703;0.003756864;0.991342488;48;0.3885605;2;5.147204;0.01315789;0.04166667;0.05764413;1
"GO:0016303";"1-phosphatidylinositol-3-kinase activity";0.007146252;0.650309;4;6.150922;0.04395604;0.004255465;1;43;0.3480854;2;5.745716;0.01315789;0.04651163;0.04735949;1
"GO:0004983";"neuropeptide Y receptor activity";0.001075812;0.09789893;2;20.42923;0.02197802;0.004447391;1;9;0.07285509;1;13.72588;0.006578947;0.1111111;0.07055461;1
"GO:0052742";"phosphatidylinositol kinase activity";0.007362803;0.6700151;4;5.970015;0.04395604;0.004724637;1;50;0.4047505;2;4.941316;0.01315789;0.04;0.06195602;1
"GO:0008374";"O-acyltransferase activity";0.003791547;0.3450307;3;8.694878;0.03296703;0.005164829;1;49;0.3966555;2;5.042159;0.01315789;0.04081633;0.05978652;1
"GO:0005201";"extracellular matrix structural constituent";0.008113118;0.7382937;4;5.417898;0.04395604;0.006617106;1;78;0.6314108;2;3.16751;0.01315789;0.02564103;0.1315775;1
"GO:0032427";"GBD domain binding";7.710313e-05;0.007016385;1;142.5235;0.01098901;0.006992096;1;2;0.01619002;1;61.76645;0.006578947;0.5;0.01612492;1
"GO:0017112";"Rab guanyl-nucleotide exchange factor activity";0.004345185;0.3954118;3;7.587026;0.03296703;0.007499038;1;50;0.4047505;2;4.941316;0.01315789;0.04;0.06195602;1
"GO:0005215";"transporter activity";0.1160465;10.56023;19;1.799202;0.2087912;0.007777716;1;1341;10.85541;20;1.8424;0.1315789;0.01491424;0.005859272;1
"GO:0000981";"RNA polymerase II transcription factor activity, sequence-specific DNA binding";0.1006345;9.157741;17;1.856353;0.1868132;0.008904646;1;766;6.200778;17;2.741592;0.1118421;0.02219321;0.0001598911;0.18762789655
"GO:0033041";"sweet taste receptor activity";9.933466e-05;0.009039454;1;110.6262;0.01098901;0.008999166;1;2;0.01619002;1;61.76645;0.006578947;0.5;0.01612492;1
"GO:0005102";"receptor binding";0.1444727;13.14701;22;1.673384;0.2417582;0.009403881;1;1481;11.98871;20;1.668236;0.1315789;0.01350439;0.01635666;1
"GO:0015271";"outward rectifier potassium channel activity";0.001764819;0.1605985;2;12.45342;0.02197802;0.01149339;1;12;0.09714012;2;20.58882;0.01315789;0.1666667;0.004073877;1
"GO:0005246";"calcium channel regulator activity";0.005154695;0.4690772;3;6.395536;0.03296703;0.01187967;1;35;0.2833253;2;7.059023;0.01315789;0.05714286;0.03253521;1
"GO:0005488";"binding";0.850433;77.3894;85;1.098342;0.9340659;0.01222827;1;14398;116.552;118;1.012424;0.7763158;0.008195583;0.4340485;1
"GO:0005158";"insulin receptor binding";0.005242726;0.4770881;3;6.288147;0.03296703;0.01242779;1;31;0.2509453;1;3.984932;0.006578947;0.03225806;0.2228865;1
"GO:0022892";"substrate-specific transporter activity";0.1042921;9.490581;17;1.79125;0.1868132;0.01245181;1;1157;9.365926;17;1.81509;0.1118421;0.01469317;0.0125113;1
"GO:0001046";"core promoter sequence-specific DNA binding";0.01532631;1.394694;5;3.585016;0.05494505;0.01326626;1;111;0.8985461;5;5.564545;0.03289474;0.04504505;0.002095327;0.9532511818
"GO:0035877";"death effector domain binding";0.0001522639;0.01385602;1;72.17082;0.01098901;0.0137615;1;4;0.03238004;1;30.88322;0.006578947;0.25;0.03199151;1
"GO:0019838";"growth factor binding";0.01571159;1.429755;5;3.497104;0.05494505;0.01462007;1;130;1.052351;4;3.801012;0.02631579;0.03076923;0.02138036;1
"GO:0043398";"HLH domain binding";0.0001649995;0.01501495;1;66.60027;0.01098901;0.01490401;1;3;0.02428503;1;41.17763;0.006578947;0.3333333;0.02409025;1
"GO:0005085";"guanyl-nucleotide exchange factor activity";0.03516163;3.199708;8;2.500228;0.08791209;0.01497926;1;324;2.622783;5;1.906372;0.03289474;0.0154321;0.1232825;1
"GO:0005515";"protein binding";0.7330151;66.70438;76;1.139356;0.8351648;0.01529403;1;11170;90.42126;96;1.061697;0.6315789;0.008594449;0.2001985;1
"GO:0086087";"voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization";0.000175724;0.01599088;1;62.53564;0.01098901;0.01586509;1;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;1
"GO:0086090";"voltage-gated potassium channel activity involved in SA node cell action potential repolarization";0.000175724;0.01599088;1;62.53564;0.01098901;0.01586509;1;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;1
"GO:0016247";"channel regulator activity";0.01624975;1.478727;5;3.381287;0.05494505;0.01666239;1;130;1.052351;4;3.801012;0.02631579;0.03076923;0.02138036;1
"GO:0015347";"sodium-independent organic anion transmembrane transporter activity";0.002172086;0.1976598;2;10.11839;0.02197802;0.01699994;1;25;0.2023752;1;4.941316;0.006578947;0.04;0.1839905;1
"GO:0005251";"delayed rectifier potassium channel activity";0.002177949;0.1981933;2;10.09116;0.02197802;0.01708598;1;20;0.1619002;3;18.52993;0.01973684;0.15;0.0005358668;0.45248592592
"GO:0015189";"L-lysine transmembrane transporter activity";0.0001928426;0.01754868;1;56.98436;0.01098901;0.01739726;1;4;0.03238004;1;30.88322;0.006578947;0.25;0.03199151;1
"GO:0019902";"phosphatase binding";0.01672135;1.521643;5;3.285922;0.05494505;0.01860164;1;158;1.279012;3;2.345561;0.01973684;0.01898734;0.1367072;1
"GO:0005088";"Ras guanyl-nucleotide exchange factor activity";0.02988803;2.719811;7;2.573708;0.07692308;0.01948114;1;250;2.023752;4;1.976526;0.02631579;0.016;0.1452498;1
"GO:0030145";"manganese ion binding";0.006257631;0.5694444;3;5.268293;0.03296703;0.01979262;1;51;0.4128455;2;4.844427;0.01315789;0.03921569;0.06415207;1
"GO:0004356";"glutamate-ammonia ligase activity";0.0002340183;0.02129567;1;46.9579;0.01098901;0.02107296;1;2;0.01619002;1;61.76645;0.006578947;0.5;0.01612492;1
"GO:0008495";"protoheme IX farnesyltransferase activity";0.0002345919;0.02134787;1;46.84309;0.01098901;0.02112406;1;1;0.00809501;1;123.5329;0.006578947;1;0.00809501;1
"GO:0035004";"phosphatidylinositol 3-kinase activity";0.01158455;1.054194;4;3.794369;0.04395604;0.02172351;1;74;0.5990307;2;3.338727;0.01315789;0.02702703;0.1207752;1
"GO:0043565";"sequence-specific DNA binding";0.1201848;10.93682;18;1.645816;0.1978022;0.02241779;1;1045;8.459285;18;2.127839;0.1184211;0.01722488;0.002002878;0.9532511818
"GO:0050544";"arachidonic acid binding";0.0002523301;0.02296204;1;43.55014;0.01098901;0.02270325;1;5;0.04047505;1;24.70658;0.006578947;0.2;0.03982921;1
"GO:0015075";"ion transmembrane transporter activity";0.08637957;7.860541;14;1.781048;0.1538462;0.02422424;1;887;7.180274;13;1.810516;0.08552632;0.01465614;0.02811187;1
"GO:0015485";"cholesterol binding";0.002638944;0.2401439;2;8.328338;0.02197802;0.0244186;1;43;0.3480854;1;2.872858;0.006578947;0.02325581;0.2952379;1
"GO:0019903";"protein phosphatase binding";0.01210306;1.101379;4;3.631812;0.04395604;0.02499011;1;112;0.9066411;2;2.205945;0.01315789;0.01785714;0.2296943;1
"GO:0050786";"RAGE receptor binding";0.0002787316;0.02536457;1;39.42507;0.01098901;0.02504904;1;11;0.08904511;1;11.23026;0.006578947;0.09090909;0.085549;1
