"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0060060";"post-embryonic retina morphogenesis in camera-type eye";0.0004406491;0.03216738;4;124.3496;0.05479452;4.005084e-08;0.00026351450178;1;0.005645204;1;177.1415;0.009433962;1;0.005645204;0.964743369298701
"GO:0070593";"dendrite self-avoidance";0.0004406491;0.03216738;4;124.3496;0.05479452;4.005084e-08;0.00026351450178;1;0.005645204;1;177.1415;0.009433962;1;0.005645204;0.964743369298701
"GO:0009886";"post-embryonic animal morphogenesis";0.001896799;0.1384663;4;28.88789;0.05479452;1.269047e-05;0.043470598592;12;0.06774245;1;14.76179;0.009433962;0.08333333;0.06569687;1
"GO:0048842";"positive regulation of axon extension involved in axon guidance";0.001998578;0.1458962;4;27.41676;0.05479452;1.555407e-05;0.043470598592;7;0.03951643;1;25.30593;0.009433962;0.1428571;0.03885956;1
"GO:1902669";"positive regulation of axon guidance";0.002029699;0.148168;4;26.99637;0.05479452;1.651744e-05;0.043470598592;8;0.04516163;1;22.14269;0.009433962;0.125;0.04428742;1
"GO:0045773";"positive regulation of axon extension";0.006575075;0.4799805;5;10.41709;0.06849315;0.000127293;0.2746590891625;40;0.2258082;2;8.857075;0.01886792;0.05;0.02141848;1
"GO:0002517";"T cell tolerance induction";0.0002382295;0.01739075;2;115.0036;0.02739726;0.0001474763;0.2746590891625;2;0.01129041;1;88.57075;0.009433962;0.5;0.01125884;1
"GO:0060219";"camera-type eye photoreceptor cell differentiation";0.003703381;0.2703468;4;14.79581;0.05479452;0.0001669787;0.2746590891625;17;0.09596847;1;10.42009;0.009433962;0.05882353;0.0917917;1
"GO:0010842";"retina layer formation";0.004273134;0.3119388;4;12.82303;0.05479452;0.0002868659;0.39389124198;22;0.1241945;1;8.051887;0.009433962;0.04545455;0.1171644;1
"GO:0045664";"regulation of neuron differentiation";0.09259155;6.759183;17;2.515097;0.2328767;0.0002993322;0.39389124198;570;3.217766;11;3.41852;0.1037736;0.01929825;0.000375916;0.767016640052632
"GO:0048841";"regulation of axon extension involved in axon guidance";0.004458845;0.3254957;4;12.28895;0.05479452;0.0003366357;0.402708106936364;16;0.09032327;1;11.07134;0.009433962;0.0625;0.08663115;1
"GO:0048639";"positive regulation of developmental growth";0.02471438;1.80415;8;4.434221;0.109589;0.0004478732;0.473663873492308;159;0.8975875;4;4.45639;0.03773585;0.02515723;0.01261798;1
"GO:0046854";"phosphatidylinositol phosphorylation";0.01345812;0.9824428;6;6.107226;0.08219178;0.0004679406;0.473663873492308;98;0.55323;5;9.037832;0.04716981;0.05102041;0.0002334744;0.767016640052632
"GO:0031295";"T cell costimulation";0.005049948;0.3686462;4;10.85051;0.05479452;0.0005362315;0.50401930775;68;0.3838739;3;7.815067;0.02830189;0.04411765;0.00671729;1
