"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0098850";"extrinsic component of synaptic vesicle membrane";2.451666e-05;0.001789716;1;558.7478;0.01369863;0.001788138;1;1;0.005645204;1;177.1415;0.009433962;1;0.005645204;1
"GO:0097651";"phosphatidylinositol 3-kinase complex, class I";0.0008959825;0.06540672;2;30.5779;0.02739726;0.002022315;1;5;0.02822602;2;70.8566;0.01886792;0.4;0.0003122106;0.5394999168
"GO:0031672";"A band";0.003683022;0.2688606;3;11.1582;0.04109589;0.002563472;1;44;0.248389;2;8.051887;0.01886792;0.04545455;0.02560165;1
"GO:0000164";"protein phosphatase type 1 complex";0.001366849;0.09977995;2;20.04411;0.02739726;0.00460329;1;11;0.06209725;2;32.20755;0.01886792;0.1818182;0.001679548;1
"GO:0008287";"protein serine/threonine phosphatase complex";0.005440999;0.3971929;3;7.553005;0.04109589;0.007545454;1;49;0.276615;3;10.8454;0.02830189;0.06122449;0.002667917;1
"GO:1990429";"peroxisomal importomer complex";0.0001178827;0.008605434;1;116.2056;0.01369863;0.008569016;1;2;0.01129041;1;88.57075;0.009433962;0.5;0.01125884;1
"GO:0005905";"clathrin-coated pit";0.006356951;0.4640574;3;6.464717;0.04109589;0.01147795;1;70;0.3951643;2;5.061186;0.01886792;0.02857143;0.05949909;1
"GO:0005944";"phosphatidylinositol 3-kinase complex, class IB";0.0001994243;0.01455798;1;68.69087;0.01369863;0.01445395;1;3;0.01693561;1;59.04717;0.009433962;0.3333333;0.01684108;1
"GO:0038039";"G-protein coupled receptor heterodimeric complex";0.0002045519;0.01493229;1;66.96899;0.01369863;0.01482286;1;2;0.01129041;1;88.57075;0.009433962;0.5;0.01125884;1
"GO:0005747";"mitochondrial respiratory chain complex I";0.002848654;0.2079518;2;9.617614;0.02739726;0.01865448;1;51;0.2879054;1;3.473363;0.009433962;0.01960784;0.2510682;1
"GO:0005942";"phosphatidylinositol 3-kinase complex";0.002879453;0.2102001;2;9.514744;0.02739726;0.01903269;1;21;0.1185493;2;16.87062;0.01886792;0.0952381;0.006181218;1
"GO:0016020";"membrane";0.6476204;47.27629;56;1.184526;0.7671233;0.01954849;1;9041;51.03829;55;1.077622;0.5188679;0.006083398;0.2497775;1
"GO:0000137";"Golgi cis cisterna";0.0002934807;0.02142409;1;46.67643;0.01369863;0.0211993;1;7;0.03951643;1;25.30593;0.009433962;0.1428571;0.03885956;1
"GO:0035061";"interchromatin granule";0.0003273254;0.02389476;1;41.85018;0.01369863;0.02361536;1;4;0.02258082;1;44.28538;0.009433962;0.25;0.0223921;1
"GO:0000118";"histone deacetylase complex";0.008369795;0.610995;3;4.910024;0.04109589;0.02362375;1;60;0.3387123;2;5.904717;0.01886792;0.03333333;0.04520589;1
"GO:0030658";"transport vesicle membrane";0.01535972;1.121259;4;3.567417;0.05479452;0.02623016;1;177;0.9992012;3;3.002398;0.02830189;0.01694915;0.07875584;1
"GO:0072357";"PTW/PP1 phosphatase complex";0.0003766845;0.02749797;1;36.36632;0.01369863;0.02712838;1;7;0.03951643;1;25.30593;0.009433962;0.1428571;0.03885956;1
"GO:0017053";"transcriptional repressor complex";0.009143814;0.6674984;3;4.494393;0.04109589;0.02960687;1;83;0.468552;2;4.26847;0.01886792;0.02409639;0.08002886;1
"GO:0005576";"extracellular region";0.3437085;25.09072;33;1.315227;0.4520548;0.03575865;1;4547;25.66874;31;1.207694;0.2924528;0.006817682;0.136657;1
"GO:0070274";"RES complex";0.0005194351;0.03791877;1;26.37217;0.01369863;0.03721834;1;2;0.01129041;1;88.57075;0.009433962;0.5;0.01125884;1
"GO:0005726";"perichromatin fibrils";0.0005229127;0.03817263;1;26.19678;0.01369863;0.03746285;1;4;0.02258082;1;44.28538;0.009433962;0.25;0.0223921;1
"GO:0005579";"membrane attack complex";0.0005282836;0.03856471;1;25.93045;0.01369863;0.03784036;1;7;0.03951643;1;25.30593;0.009433962;0.1428571;0.03885956;1
"GO:0005876";"spindle microtubule";0.004223431;0.3083105;2;6.486967;0.02739726;0.03846834;1;53;0.2991958;2;6.684585;0.01886792;0.03773585;0.03609556;1
"GO:1990578";"perinuclear endoplasmic reticulum membrane";0.0006375537;0.04654142;1;21.48624;0.01369863;0.04548914;1;1;0.005645204;1;177.1415;0.009433962;1;0.005645204;1
"GO:0030130";"clathrin coat of trans-Golgi network vesicle";0.0006683597;0.04879026;1;20.4959;0.01369863;0.04763467;1;12;0.06774245;1;14.76179;0.009433962;0.08333333;0.06569687;1
