"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0003714";"transcription corepressor activity";0.02771309;2.023056;10;4.943017;0.1369863;3.365961e-05;0.14211087342;220;1.241945;8;6.441509;0.0754717;0.03636364;3.52245e-05;0.09880258959
"GO:0008270";"zinc ion binding";0.0744819;5.437179;14;2.574865;0.1917808;0.0008958554;1;807;4.55568;15;3.292593;0.1415094;0.01858736;4.680369e-05;0.09880258959
"GO:0046934";"phosphatidylinositol-4,5-bisphosphate 3-kinase activity";0.01027332;0.7499524;5;6.66709;0.06849315;0.0009627378;1;66;0.3725835;4;10.73585;0.03773585;0.06060606;0.0005284208;0.5495490304
"GO:0052813";"phosphatidylinositol bisphosphate kinase activity";0.01039935;0.7591522;5;6.586294;0.06849315;0.001016041;1;69;0.3895191;4;10.26907;0.03773585;0.05797101;0.0006256838;0.5495490304
"GO:0035004";"phosphatidylinositol 3-kinase activity";0.01158455;0.8456719;5;5.912459;0.06849315;0.001630788;1;74;0.4177451;4;9.575217;0.03773585;0.05405405;0.0008149972;0.565885878457143
"GO:0001025";"RNA polymerase III transcription factor binding";0.0008039519;0.05868849;2;34.07823;0.02739726;0.001635285;1;5;0.02822602;1;35.4283;0.009433962;0.2;0.02791207;1
"GO:0046935";"1-phosphatidylinositol-3-kinase regulator activity";0.0008910837;0.06504911;2;30.746;0.02739726;0.002000724;1;7;0.03951643;2;50.61186;0.01886792;0.2857143;0.000650816;0.5495490304
"GO:0032041";"NAD-dependent histone deacetylase activity (H3-K14 specific)";0.001237199;0.09031554;2;22.14458;0.02739726;0.003794493;1;11;0.06209725;1;16.10377;0.009433962;0.09090909;0.06038947;1
"GO:0003712";"transcription cofactor activity";0.05948812;4.342632;11;2.533026;0.1506849;0.003823799;1;534;3.014539;9;2.985531;0.08490566;0.01685393;0.003250323;1
"GO:0004190";"aspartic-type endopeptidase activity";0.0012496;0.09122079;2;21.92483;0.02739726;0.003868683;1;24;0.1354849;1;7.380896;0.009433962;0.04166667;0.1271157;1
"GO:0070001";"aspartic-type peptidase activity";0.001257496;0.09179717;2;21.78716;0.02739726;0.003916273;1;25;0.1411301;1;7.08566;0.009433962;0.04;0.1320496;1
