"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0032474";"otolith morphogenesis";0.0008948479;0.07695692;36;467.7942;0.4186047;3.756209e-86;4.9427954231e-82;3;0.006710337;1;149.0238;0.02380952;0.3333333;0.006695695;0.756780725735043
"GO:0048840";"otolith development";0.001424503;0.1225072;36;293.8602;0.4186047;6.799121e-79;4.47348166195e-75;5;0.0111839;1;89.41429;0.02380952;0.2;0.01113516;0.827839381016949
"GO:0006303";"double-strand break repair via nonhomologous end joining";0.004319127;0.3714449;33;88.84224;0.3837209;4.853709e-55;2.1289985577e-51;65;0.1453906;1;6.878022;0.02380952;0.01538462;0.1356715;1
"GO:0000726";"non-recombinational repair";0.00474628;0.40818;33;80.84668;0.3837209;1.066798e-53;3.5094987205e-50;71;0.1588113;1;6.296781;0.02380952;0.01408451;0.1472481;1
"GO:0042472";"inner ear morphogenesis";0.01619752;1.392987;37;26.56164;0.4302326;7.461917e-43;1.96382731606e-39;94;0.2102572;2;9.512158;0.04761905;0.0212766;0.01874812;0.982894466454183
"GO:0006302";"double-strand break repair";0.01172638;1.008468;33;32.72289;0.3837209;6.81854e-41;1.49541946433333e-37;174;0.3891996;1;2.569376;0.02380952;0.005747126;0.3239198;1
"GO:0042471";"ear morphogenesis";0.01949859;1.676878;37;22.06481;0.4302326;6.07863e-40;1.14269560242857e-36;113;0.252756;2;7.912769;0.04761905;0.01769912;0.02642916;1
"GO:0048839";"inner ear development";0.02998054;2.578327;39;15.12609;0.4534884;4.503064e-36;7.406977397e-33;179;0.4003834;4;9.990423;0.0952381;0.02234637;0.0006736553;0.660256626488889
"GO:0000973";"posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery";0.0001056635;0.009087058;12;1320.559;0.1395349;2.940205e-34;4.29890639944444e-31;3;0.006710337;1;149.0238;0.02380952;0.3333333;0.006695695;0.756780725735043
"GO:0043583";"ear development";0.03411194;2.933626;39;13.29413;0.4534884;5.692807e-34;7.4911647313e-31;204;0.4563029;4;8.766106;0.0952381;0.01960784;0.001096084;0.660256626488889
"GO:0000972";"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery";0.0002180707;0.01875408;12;639.8607;0.1395349;1.742257e-30;2.084214533e-27;7;0.01565745;1;63.86735;0.02380952;0.1428571;0.01555525;0.913801494419643
"GO:0048562";"embryonic organ morphogenesis";0.04058207;3.490058;38;10.88807;0.4418605;7.048675e-30;7.72945952708333e-27;281;0.6285349;3;4.773005;0.07142857;0.01067616;0.02477919;1
"GO:0090596";"sensory organ morphogenesis";0.04078689;3.507672;38;10.8334;0.4418605;8.450121e-30;8.55347247992308e-27;247;0.5524844;3;5.430017;0.07142857;0.01214575;0.01770222;0.939154130682731
"GO:0097211";"cellular response to gonadotropin-releasing hormone";0.0003949245;0.0339635;12;353.3204;0.1395349;2.142227e-27;2.01354036378571e-24;6;0.01342067;1;74.5119;0.02380952;0.1666667;0.01334762;0.887077432222222
"GO:0006281";"DNA repair";0.03332691;2.866114;33;11.51385;0.3837209;2.044899e-26;1.7939217294e-23;497;1.111679;1;0.8995401;0.02380952;0.002012072;0.6762892;1
"GO:0097210";"response to gonadotropin-releasing hormone";0.0005028966;0.0432491;12;277.4624;0.1395349;3.865781e-26;3.1793632611875e-23;7;0.01565745;1;63.86735;0.02380952;0.1428571;0.01555525;0.913801494419643
"GO:0048568";"embryonic organ development";0.05699734;4.901771;39;7.956308;0.4534884;9.426792e-26;7.29689152517647e-23;418;0.9349736;4;4.278195;0.0952381;0.009569378;0.01391053;0.91068987199005
"GO:2000301";"negative regulation of synaptic vesicle exocytosis";0.0006653747;0.05722222;12;209.7087;0.1395349;1.100188e-24;8.04298549555555e-22;4;0.008947116;1;111.7679;0.02380952;0.25;0.008917852;0.803767222383562
"GO:0051292";"nuclear pore complex assembly";0.0007342363;0.06314432;12;190.0409;0.1395349;3.569917e-24;2.47244935805263e-21;10;0.02236779;1;44.70714;0.02380952;0.1;0.02214924;1
"GO:1902804";"negative regulation of synaptic vesicle transport";0.0007722748;0.06641564;12;180.6803;0.1395349;6.527726e-24;4.2949173217e-21;8;0.01789423;1;55.88393;0.02380952;0.125;0.01775805;0.939154130682731
"GO:0007423";"sensory organ development";0.07315479;6.291312;40;6.357974;0.4651163;6.6714e-23;4.18042631428571e-20;513;1.147468;6;5.228906;0.1428571;0.01169591;0.0009187938;0.660256626488889
"GO:0046931";"pore complex assembly";0.001054489;0.09068603;12;132.3247;0.1395349;2.689222e-22;1.60852146809091e-19;16;0.03578846;1;27.94196;0.02380952;0.0625;0.03520813;1
"GO:0006974";"cellular response to DNA damage stimulus";0.05419966;4.66117;35;7.508844;0.4069767;4.695606e-22;2.68649910234783e-19;740;1.655216;3;1.812452;0.07142857;0.004054054;0.2290148;1
"GO:0006999";"nuclear pore organization";0.001238233;0.106488;12;112.6887;0.1395349;1.825146e-21;1.00071234225e-18;15;0.03355169;1;29.80476;0.02380952;0.06666667;0.03304354;1
