"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:1902004";"positive regulation of beta-amyloid formation";0.002115297;0.04865183;4;82.21684;0.173913;1.716752e-07;0.0020917098994;10;0.01757469;1;56.9;0.03030303;0.1;0.0174405;1
"GO:1902003";"regulation of beta-amyloid formation";0.002642574;0.06077921;4;65.81198;0.173913;4.148093e-07;0.0020917098994;16;0.02811951;1;35.5625;0.03030303;0.0625;0.02776283;1
"GO:1902991";"regulation of amyloid precursor protein catabolic process";0.002737294;0.06295776;4;63.53466;0.173913;4.768698e-07;0.0020917098994;19;0.03339192;1;29.94737;0.03030303;0.05263158;0.03288449;1
"GO:0007089";"traversing start control point of mitotic cell cycle";0.0002364155;0.005437556;2;367.8123;0.08695652;1.409403e-05;0.0463658351925;4;0.007029877;1;142.25;0.03030303;0.25;0.007011925;1
"GO:0034501";"protein localization to kinetochore";0.0007544475;0.01735229;2;115.2585;0.08695652;0.0001424929;0.298730061977778;14;0.02460457;1;40.64286;0.03030303;0.07142857;0.02433379;1
"GO:0034250";"positive regulation of cellular amide metabolic process";0.01239752;0.285143;4;14.02805;0.173913;0.0001732186;0.298730061977778;129;0.2267135;1;4.410853;0.03030303;0.007751938;0.2036294;1
"GO:0060218";"hematopoietic stem cell differentiation";0.0008654029;0.01990427;2;100.481;0.08695652;0.0001871965;0.298730061977778;12;0.02108963;1;47.41667;0.03030303;0.08333333;0.02089303;1
"GO:0071459";"protein localization to chromosome, centromeric region";0.0008894358;0.02045702;2;97.76593;0.08695652;0.0001976716;0.298730061977778;17;0.02987698;1;33.47059;0.03030303;0.05882353;0.02947297;1
"GO:0045656";"negative regulation of monocyte differentiation";0.000904351;0.02080007;2;96.15351;0.08695652;0.0002043142;0.298730061977778;7;0.01230228;1;81.28571;0.03030303;0.1428571;0.01223956;1
"GO:1904628";"cellular response to phorbol 13-acetate 12-myristate";0.001027091;0.02362308;2;84.66295;0.08695652;0.0002630852;0.323163267836364;8;0.01405975;1;71.125;0.03030303;0.125;0.01397616;1
"GO:0043697";"cell dedifferentiation";0.001040874;0.02394011;2;83.54181;0.08695652;0.0002701418;0.323163267836364;5;0.008787346;1;113.8;0.03030303;0.2;0.008757443;1
"GO:1904627";"response to phorbol 13-acetate 12-myristate";0.001136069;0.02612959;2;76.54157;0.08695652;0.0003213858;0.35242631185;10;0.01757469;1;56.9;0.03030303;0.1;0.0174405;1
"GO:0021670";"lateral ventricle development";0.001256756;0.02890538;2;69.19126;0.08695652;0.0003926322;0.383242628273333;11;0.01933216;1;51.72727;0.03030303;0.09090909;0.01916824;1
"GO:2000773";"negative regulation of cellular senescence";0.001317281;0.03029745;2;66.01215;0.08695652;0.0004309959;0.383242628273333;12;0.02108963;1;47.41667;0.03030303;0.08333333;0.02089303;1
"GO:0033077";"T cell differentiation in thymus";0.006477857;0.1489907;3;20.13548;0.1304348;0.0004368599;0.383242628273333;46;0.08084359;2;24.73913;0.06060606;0.04347826;0.00295375;1
"GO:0090344";"negative regulation of cell aging";0.001514728;0.03483875;2;57.40733;0.08695652;0.0005683127;0.442792144976471;18;0.03163445;1;31.61111;0.03030303;0.05555556;0.03118018;1
"GO:0007050";"cell cycle arrest";0.01700874;0.3912011;4;10.22492;0.173913;0.0005720394;0.442792144976471;150;0.2636204;2;7.586667;0.06060606;0.01333333;0.02847176;1
"GO:0045321";"leukocyte activation";0.06880875;1.582601;7;4.423098;0.3043478;0.000668394;0.488633147;869;1.527241;3;1.964327;0.09090909;0.003452244;0.1949733;1
"GO:0021542";"dentate gyrus development";0.002217857;0.05101072;2;39.20744;0.08695652;0.001206474;0.835578492947368;15;0.02636204;1;37.93333;0.03030303;0.06666667;0.02604978;1
"GO:0045655";"regulation of monocyte differentiation";0.002441074;0.05614471;2;35.62223;0.08695652;0.001456997;0.95863117615;18;0.03163445;1;31.61111;0.03030303;0.05555556;0.03118018;1
"GO:0001775";"cell activation";0.08250463;1.897606;7;3.688858;0.3043478;0.001947385;1;1013;1.780316;3;1.685094;0.09090909;0.0029615;0.2623202;1
"GO:0003323";"type B pancreatic cell development";0.002899885;0.06669737;2;29.98619;0.08695652;0.002043038;1;13;0.0228471;1;43.76923;0.03030303;0.07692308;0.02261488;1
"GO:1900087";"positive regulation of G1/S transition of mitotic cell cycle";0.003029253;0.06967283;2;28.7056;0.08695652;0.002225367;1;27;0.04745167;1;21.07407;0.03030303;0.03703704;0.04641466;1
"GO:0021591";"ventricular system development";0.003138779;0.07219193;2;27.70393;0.08695652;0.002385548;1;25;0.04393673;1;22.76;0.03030303;0.04;0.04304943;1
"GO:0086021";"SA node cell to atrial cardiac muscle cell communication by electrical coupling";0.0001056379;0.002429673;1;411.5781;0.04347826;0.002426851;1;2;0.003514938;1;284.5;0.03030303;0.5;0.003511943;1
"GO:0086053";"AV node cell to bundle of His cell communication by electrical coupling";0.0001056379;0.002429673;1;411.5781;0.04347826;0.002426851;1;2;0.003514938;1;284.5;0.03030303;0.5;0.003511943;1
"GO:0014002";"astrocyte development";0.003209745;0.07382413;2;27.09141;0.08695652;0.002492169;1;27;0.04745167;1;21.07407;0.03030303;0.03703704;0.04641466;1
"GO:2000772";"regulation of cellular senescence";0.003249682;0.0747427;2;26.75847;0.08695652;0.00255315;1;30;0.05272408;1;18.96667;0.03030303;0.03333333;0.051441;1
"GO:1902808";"positive regulation of cell cycle G1/S phase transition";0.003365078;0.0773968;2;25.84086;0.08695652;0.002733289;1;36;0.06326889;1;15.80556;0.03030303;0.02777778;0.06141673;1
"GO:0003192";"mitral valve formation";0.0001246012;0.002865828;1;348.9393;0.04347826;0.002861904;1;3;0.005272408;1;189.6667;0.03030303;0.3333333;0.005263427;1
"GO:0090342";"regulation of cell aging";0.003468075;0.07976572;2;25.07343;0.08695652;0.002898999;1;37;0.06502636;1;15.37838;0.03030303;0.02702703;0.06306943;1
"GO:0003309";"type B pancreatic cell differentiation";0.003542679;0.08148163;2;24.54541;0.08695652;0.00302192;1;19;0.03339192;1;29.94737;0.03030303;0.05263158;0.03288449;1
"GO:0002068";"glandular epithelial cell development";0.003566891;0.08203849;2;24.3788;0.08695652;0.003062332;1;18;0.03163445;1;31.61111;0.03030303;0.05555556;0.03118018;1
"GO:0035883";"enteroendocrine cell differentiation";0.00361923;0.08324229;2;24.02625;0.08695652;0.003150561;1;20;0.03514938;1;28.45;0.03030303;0.05;0.03458589;1
"GO:0046849";"bone remodeling";0.00376727;0.08664721;2;23.08211;0.08695652;0.00340653;1;39;0.0685413;2;29.17949;0.06060606;0.05128205;0.002131015;1
"GO:0045839";"negative regulation of mitotic nuclear division";0.003996403;0.09191726;2;21.7587;0.08695652;0.003821286;1;35;0.06151142;1;16.25714;0.03030303;0.02857143;0.0597612;1
"GO:0034502";"protein localization to chromosome";0.004022859;0.09252576;2;21.6156;0.08695652;0.003870621;1;56;0.09841828;1;10.16071;0.03030303;0.01785714;0.09393981;1
"GO:0045646";"regulation of erythrocyte differentiation";0.004059571;0.09337014;2;21.42012;0.08695652;0.003939571;1;40;0.07029877;1;14.225;0.03030303;0.025;0.06801061;1
"GO:0043312";"neutrophil degranulation";0.02991602;0.6880684;4;5.813375;0.173913;0.004496078;1;478;0.8400703;1;1.190377;0.03030303;0.00209205;0.573304;1
"GO:0002283";"neutrophil activation involved in immune response";0.03017734;0.6940787;4;5.763035;0.173913;0.004636708;1;480;0.8435852;1;1.185417;0.03030303;0.002083333;0.5748416;1
"GO:0051784";"negative regulation of nuclear division";0.004529019;0.1041674;2;19.19986;0.08695652;0.004871415;1;46;0.08084359;1;12.36957;0.03030303;0.02173913;0.07781729;1
"GO:0003273";"cell migration involved in endocardial cushion formation";0.0002127182;0.004892518;1;204.3937;0.04347826;0.004881087;1;4;0.007029877;1;142.25;0.03030303;0.25;0.007011925;1
"GO:0038044";"transforming growth factor-beta secretion";0.0002134337;0.004908975;1;203.7085;0.04347826;0.004897467;1;2;0.003514938;1;284.5;0.03030303;0.5;0.003511943;1
"GO:1901990";"regulation of mitotic cell cycle phase transition";0.03065848;0.7051451;4;5.672591;0.173913;0.004903415;1;393;0.6906854;2;2.895674;0.06060606;0.005089059;0.1513152;1
"GO:0002446";"neutrophil mediated immunity";0.03077507;0.7078267;4;5.651101;0.173913;0.004969575;1;491;0.8629174;1;1.158859;0.03030303;0.00203666;0.5832031;1
"GO:0042119";"neutrophil activation";0.03111087;0.7155501;4;5.590105;0.173913;0.005163512;1;488;0.857645;1;1.165984;0.03030303;0.00204918;0.5809386;1
"GO:0036230";"granulocyte activation";0.03113408;0.7160839;4;5.585938;0.173913;0.005177101;1;491;0.8629174;1;1.158859;0.03030303;0.00203666;0.5832031;1
"GO:0045055";"regulated exocytosis";0.05068204;1.165687;5;4.289316;0.2173913;0.005221197;1;680;1.195079;2;1.673529;0.06060606;0.002941176;0.3369233;1
"GO:0002521";"leukocyte differentiation";0.03174011;0.7300225;4;5.479283;0.173913;0.005540609;1;301;0.5289982;3;5.671096;0.09090909;0.009966777;0.01560159;1
"GO:0043299";"leukocyte degranulation";0.03175112;0.7302758;4;5.477382;0.173913;0.005547372;1;499;0.8769772;1;1.140281;0.03030303;0.002004008;0.5891838;1
"GO:1902036";"regulation of hematopoietic stem cell differentiation";0.004859004;0.1117571;2;17.89595;0.08695652;0.00558142;1;103;0.1810193;1;5.524272;0.03030303;0.009708738;0.166126;1
"GO:0002444";"myeloid leukocyte mediated immunity";0.03258488;0.7494523;4;5.337231;0.173913;0.006075564;1;511;0.8980668;1;1.113503;0.03030303;0.001956947;0.597999;1
"GO:0030217";"T cell differentiation";0.01636853;0.3764762;3;7.96863;0.1304348;0.006078832;1;129;0.2267135;2;8.821705;0.06060606;0.01550388;0.02151996;1
