"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0098770";"FBXO family protein binding";0.0002230263;0.005129605;2;389.8935;0.08695652;1.254518e-05;0.05296574996;2;0.003514938;1;284.5;0.03030303;0.5;0.003511943;1
"GO:0001540";"beta-amyloid binding";0.007796692;0.1793239;4;22.306;0.173913;2.906188e-05;0.06134962868;55;0.09666081;1;10.34545;0.03030303;0.01818182;0.09233994;1
"GO:0042277";"peptide binding";0.02583163;0.5941274;5;8.415703;0.2173913;0.0002621536;0.368937499733333;248;0.4358524;2;4.58871;0.06060606;0.008064516;0.07020386;1
"GO:0033218";"amide binding";0.02769064;0.6368846;5;7.850716;0.2173913;0.0003607618;0.3807840799;281;0.4938489;2;4.049822;0.06060606;0.007117438;0.08704138;1
"GO:0008233";"peptidase activity";0.04977645;1.144858;6;5.240823;0.2608696;0.0007359798;0.551371949266667;646;1.135325;3;2.642415;0.09090909;0.004643963;0.1034485;1
"GO:0032440";"2-alkenal reductase [NAD(P)] activity";3.408103e-05;0.0007838636;1;1275.732;0.04347826;0.0007835698;0.551371949266667;1;0.001757469;1;569;0.03030303;1;0.001757469;1
"GO:0004693";"cyclin-dependent protein serine/threonine kinase activity";0.002253688;0.05183481;2;38.58411;0.08695652;0.001245147;0.6703153295;30;0.05272408;1;18.96667;0.03030303;0.03333333;0.051441;1
"GO:0097472";"cyclin-dependent protein kinase activity";0.002276555;0.05236077;2;38.19653;0.08695652;0.001270138;0.6703153295;31;0.05448155;1;18.35484;0.03030303;0.03225806;0.05311073;1
"GO:0086020";"gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling";0.0001056379;0.002429673;1;411.5781;0.04347826;0.002426851;0.978392846363636;2;0.003514938;1;284.5;0.03030303;0.5;0.003511943;1
"GO:0086077";"gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling";0.0001056379;0.002429673;1;411.5781;0.04347826;0.002426851;0.978392846363636;2;0.003514938;1;284.5;0.03030303;0.5;0.003511943;1
