"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0005958";"DNA-dependent protein kinase-DNA ligase 4 complex";0.0006915508;0.3354021;33;98.38935;0.06804124;6.15846e-54;1.064181888e-50;4;0.1420887;1;7.037856;0.00149925;0.25;0.1347057;1
"GO:0070419";"nonhomologous end joining complex";0.0008799406;0.4267712;33;77.32481;0.06804124;1.608152e-50;1.389443328e-47;9;0.3196996;1;3.127936;0.00149925;0.1111111;0.2778964;1
"GO:1990391";"DNA repair complex";0.003322018;1.611179;33;20.4819;0.06804124;6.022582e-32;3.469007232e-29;39;1.385365;1;0.7218314;0.00149925;0.02564103;0.7563506;1
"GO:0043227";"membrane-bounded organelle";0.7563244;366.8173;416;1.134079;0.857732;2.592152e-08;1.119809664e-05;12319;437.5978;476;1.087757;0.7136432;0.0386395;0.0007200924;0.1382577408
"GO:0005622";"intracellular";0.8286551;401.8977;443;1.102271;0.9134021;6.024111e-08;2.040039e-05;14472;514.077;538;1.046536;0.8065967;0.03717523;0.01288198;0.58936032
"GO:0044424";"intracellular part";0.8161994;395.8567;438;1.106461;0.9030928;7.590432e-08;2.040039e-05;14132;501.9995;525;1.045818;0.7871064;0.03714973;0.01871748;0.667985201632653
"GO:0043229";"intracellular organelle";0.750962;364.2166;412;1.131195;0.8494845;8.570392e-08;2.040039e-05;12367;439.3028;471;1.072153;0.7061469;0.03808523;0.004396302;0.3798404928
"GO:0043226";"organelle";0.791172;383.7184;428;1.115401;0.8824742;9.444625e-08;2.040039e-05;13296;472.3029;501;1.06076;0.7511244;0.03768051;0.006645986;0.441702454153846
"GO:0043231";"intracellular membrane-bounded organelle";0.6843317;331.9009;382;1.150946;0.7876289;2.650059e-07;5.08811328e-05;10646;378.1691;410;1.084171;0.6146927;0.03851212;0.006152398;0.42997139712
"GO:0044464";"cell part";0.8978193;435.4424;465;1.06788;0.9587629;5.950833e-07;0.00010283039424;16405;582.7414;598;1.026184;0.8965517;0.0364523;0.03730016;0.907812344788732
"GO:0005623";"cell";0.898121;435.5887;465;1.067521;0.9587629;6.569549e-07;0.000103201642472727;16433;583.736;598;1.024436;0.8965517;0.03639019;0.04768577;1
