"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0004677";"DNA-dependent protein kinase activity";0.0008127773;0.394197;33;83.71449;0.06804124;1.205677e-51;5.090368294e-48;4;0.1420887;1;7.037856;0.00149925;0.25;0.1347057;1
"GO:0008420";"CTD phosphatase activity";0.0003119521;0.1512968;19;125.581;0.03917526;1.307933e-33;2.761046563e-30;6;0.2131331;1;4.691904;0.00149925;0.1666667;0.1951023;1
"GO:0004498";"calcidiol 1-monooxygenase activity";5.014168e-06;0.002431872;7;2878.441;0.01443299;9.535733e-23;1.34199549086667e-19;1;0.03552218;1;28.15142;0.00149925;1;0.03552218;1
"GO:0004222";"metalloendopeptidase activity";0.0126494;6.13496;37;6.03101;0.07628866;9.824204e-18;1.0369447322e-14;115;4.085051;5;1.223975;0.007496252;0.04347826;0.3880861;1
"GO:0008237";"metallopeptidase activity";0.01880507;9.12046;42;4.605031;0.08659794;6.630451e-16;5.5987528244e-13;187;6.642648;9;1.354881;0.01349325;0.04812834;0.2217357;1
"GO:0004722";"protein serine/threonine phosphatase activity";0.004899554;2.376284;22;9.258153;0.04536082;1.165496e-14;8.20120685333333e-12;66;2.344464;4;1.706147;0.005997001;0.06060606;0.2070085;1
"GO:0004175";"endopeptidase activity";0.02994154;14.52165;43;2.961097;0.08865979;4.743028e-10;2.86072345942857e-07;415;14.74171;11;0.7461823;0.01649175;0.02650602;0.8756953;1
"GO:0004674";"protein serine/threonine kinase activity";0.04525708;21.94969;52;2.369054;0.1072165;1.306231e-08;6.8936341025e-06;449;15.94946;18;1.128565;0.02698651;0.04008909;0.3328957;1
"GO:0004721";"phosphoprotein phosphatase activity";0.01998602;9.69322;30;3.094947;0.06185567;8.61782e-08;4.04271511555556e-05;180;6.393993;11;1.720365;0.01649175;0.06111111;0.05678767;1
"GO:0008233";"peptidase activity";0.04977645;24.14158;52;2.15396;0.1072165;2.522663e-07;0.00010650683186;646;22.94733;19;0.8279831;0.02848576;0.02941176;0.8316939;1
"GO:0070011";"peptidase activity, acting on L-amino acid peptides";0.04761806;23.09476;49;2.121694;0.1010309;8.774048e-07;0.000336763915054545;624;22.16584;16;0.7218314;0.02398801;0.02564103;0.9345957;1
"GO:0042578";"phosphoric ester hydrolase activity";0.03812895;18.49254;41;2.21711;0.08453608;2.519523e-06;0.0008864521755;366;13.00112;20;1.538329;0.02998501;0.05464481;0.03825435;1
"GO:0016791";"phosphatase activity";0.02762654;13.39887;33;2.462894;0.06804124;2.970971e-06;0.000964879966307692;272;9.662033;14;1.44897;0.02098951;0.05147059;0.1066118;1
"GO:0071837";"HMG box domain binding";0.003114224;1.510399;10;6.620768;0.02061856;4.066618e-06;0.00119932524466667;18;0.6393993;4;6.255872;0.005997001;0.2222222;0.003243882;0.318503948930233
"GO:0016787";"hydrolase activity";0.1938115;93.99859;135;1.436192;0.2783505;4.260985e-06;0.00119932524466667;2532;89.94216;92;1.02288;0.137931;0.03633491;0.423706;1
"GO:0003700";"transcription factor activity, sequence-specific DNA binding";0.1368043;66.35008;101;1.522229;0.2082474;1.023529e-05;0.00270083714875;1245;44.22512;94;2.125489;0.1409295;0.07550201;2.245115e-12;9.47887553e-09
"GO:0003677";"DNA binding";0.214041;103.8099;144;1.387151;0.2969072;1.15996e-05;0.00288079477647059;2476;87.95292;138;1.569021;0.2068966;0.05573506;2.843807e-08;4.00218438466667e-05
"GO:0016788";"hydrolase activity, acting on ester bonds";0.06331426;30.70742;56;1.823664;0.1154639;1.297917e-05;0.00304433643;748;26.57059;34;1.27961;0.05097451;0.04545455;0.08474696;1
"GO:0004672";"protein kinase activity";0.07033905;34.11444;60;1.758786;0.1237113;1.804715e-05;0.0040102667;648;23.01837;25;1.086089;0.03748126;0.03858025;0.3639827;1
"GO:0051015";"actin filament binding";0.01373643;6.66217;19;2.851924;0.03917526;5.958354e-05;0.012578085294;156;5.54146;10;1.804578;0.0149925;0.06410256;0.05189761;1
"GO:0005488";"binding";0.850433;412.46;441;1.069195;0.9092784;7.675399e-05;0.0154312069419048;14398;511.4484;537;1.049959;0.8050975;0.03729685;0.008814215;0.58146274578125
"GO:0003705";"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";0.01434934;6.959431;19;2.730108;0.03917526;0.0001043456;0.0200248692363636;100;3.552218;15;4.222714;0.02248876;0.15;2.383085e-06;0.00139863690890909
"GO:0035326";"enhancer binding";0.01319622;6.400169;18;2.812426;0.0371134;0.0001097562;0.0201474207130435;106;3.765351;12;3.186954;0.017991;0.1132075;0.0003811946;0.0574787000428571
"GO:0016709";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen";0.002238993;1.085912;7;6.446197;0.01443299;0.0001334568;0.023135006304;33;1.172232;1;0.8530735;0.00149925;0.03030303;0.6971736;1
"GO:0019104";"DNA N-glycosylase activity";0.0005205861;0.2524842;4;15.84257;0.008247423;0.0001369908;0.023135006304;14;0.4973105;3;6.032448;0.004497751;0.2142857;0.01211876;0.710630621111111
"GO:0043169";"cation binding";0.3590499;174.1392;213;1.223159;0.4391753;0.0001679298;0.0272692159846154;4186;148.6959;179;1.2038;0.2683658;0.04276159;0.002785579;0.28684669604878
"GO:0001158";"enhancer sequence-specific DNA binding";0.01152774;5.590952;16;2.861767;0.03298969;0.000215017;0.0335994330482759;92;3.268041;10;3.059937;0.0149925;0.1086957;0.001567834;0.184706636111111
"GO:0001077";"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";0.04204874;20.39364;38;1.863326;0.07835052;0.0002236914;0.0335994330482759;274;9.733078;29;2.97953;0.04347826;0.1058394;1.680478e-07;0.0001773744529
"GO:0016773";"phosphotransferase activity, alcohol group as acceptor";0.08218039;39.85749;63;1.580631;0.1298969;0.0002307872;0.0335994330482759;780;27.7073;28;1.010564;0.04197901;0.03589744;0.5051017;1
"GO:0003676";"nucleic acid binding";0.3103826;150.5356;187;1.242231;0.385567;0.0002615328;0.03680638272;4032;143.2254;187;1.305634;0.2803598;0.04637897;2.728134e-05;0.00677540102823529
"GO:0046872";"metal ion binding";0.3501715;169.8332;207;1.218843;0.4268041;0.0002850605;0.038823401;4096;145.4989;172;1.18214;0.2578711;0.04199219;0.007282916;0.530146057793103
"GO:0016301";"kinase activity";0.08766933;42.51962;65;1.528706;0.1340206;0.0004464284;0.058900647025;849;30.15833;31;1.027908;0.04647676;0.03651355;0.4635495;1
"GO:0048027";"mRNA 5'-UTR binding";0.001350091;0.6547942;5;7.635987;0.01030928;0.0005748702;0.0735485449818182;22;0.781488;3;3.838831;0.004497751;0.1363636;0.04159237;1
"GO:0043565";"sequence-specific DNA binding";0.1201848;58.28965;82;1.406768;0.1690722;0.0009726612;0.120781634894118;1045;37.12068;67;1.804924;0.1004498;0.06411483;1.980927e-06;0.001393912299
"GO:0004114";"3',5'-cyclic-nucleotide phosphodiesterase activity";0.004235582;2.054257;8;3.894351;0.01649485;0.001255479;0.151446638228571;25;0.8880545;6;6.756342;0.008995502;0.24;0.0001951263;0.032952929544
"GO:0004112";"cyclic-nucleotide phosphodiesterase activity";0.004262939;2.067525;8;3.86936;0.01649485;0.001306933;0.153274197944444;26;0.9235767;6;6.496483;0.008995502;0.2307692;0.0002461006;0.0399629512769231
"GO:0003690";"double-stranded DNA binding";0.09490643;46.02962;66;1.433859;0.1360825;0.002027368;0.231339126918919;809;28.73744;55;1.913879;0.08245877;0.06798517;3.136165e-06;0.00139863690890909
"GO:0048408";"epidermal growth factor binding";0.0005363761;0.2601424;3;11.53215;0.006185567;0.002405005;0.267208713421053;4;0.1420887;2;14.07571;0.002998501;0.5;0.007207711;0.530146057793103
"GO:0050337";"thiosulfate-thiol sulfurtransferase activity";6.341408e-06;0.003075583;1;325.1416;0.002061856;0.003070868;0.3289710626;1;0.03552218;1;28.15142;0.00149925;1;0.03552218;1
"GO:0016799";"hydrolase activity, hydrolyzing N-glycosyl compounds";0.001214309;0.58894;4;6.791863;0.008247423;0.003116732;0.3289710626;22;0.781488;3;3.838831;0.004497751;0.1363636;0.04159237;1
"GO:0000981";"RNA polymerase II transcription factor activity, sequence-specific DNA binding";0.1006345;48.80774;68;1.393222;0.1402062;0.003445409;0.351493184139535;766;27.20999;60;2.205072;0.08995502;0.07832898;7.933969e-09;1.6748608559e-05
