"ID";"name";"Binom_Genome_Fraction";"Binom_Expected";"Binom_Observed_Region_Hits";"Binom_Fold_Enrichment";"Binom_Region_Set_Coverage";"Binom_Raw_PValue";"Binom_Adjp_BH";"Hyper_Total_Genes";"Hyper_Expected";"Hyper_Observed_Gene_Hits";"Hyper_Fold_Enrichment";"Hyper_Gene_Set_Coverage";"Hyper_Term_Gene_Coverage";"Hyper_Raw_PValue";"Hyper_Adjp_BH"
"GO:0005760";"gamma DNA polymerase complex";0.0001242247;0.02906859;3;103.2042;0.01282051;3.955416e-06;0.006834958848;2;0.03291261;1;30.3835;0.003236246;0.5;0.03264266;0.619851829450549
"GO:0045202";"synapse";0.1180798;27.63067;49;1.773392;0.2094017;4.84225e-05;0.0333394272;839;13.80684;47;3.40411;0.1521036;0.05601907;1.563052e-13;2.700953856e-10
"GO:0044456";"synapse part";0.09594874;22.45201;42;1.870657;0.1794872;5.788095e-05;0.0333394272;699;11.50296;40;3.477367;0.1294498;0.05722461;6.374593e-12;5.507648352e-09
"GO:0038039";"G-protein coupled receptor heterodimeric complex";0.0002045519;0.04786513;2;41.78407;0.008547009;0.001105185;0.4240024704;2;0.03291261;2;60.76699;0.006472492;1;0.0002699479;0.0145771866
"GO:0042575";"DNA polymerase complex";0.0008781054;0.2054767;3;14.6002;0.01282051;0.001226859;0.4240024704;18;0.2962135;1;3.375944;0.003236246;0.05555556;0.2583028;1
"GO:0005682";"U5 snRNP";0.0009731636;0.2277203;3;13.17406;0.01282051;0.001642981;0.44145864;22;0.3620387;3;8.286408;0.009708738;0.1363636;0.005390126;0.175738447698113
"GO:0097458";"neuron part";0.1635079;38.26086;56;1.463637;0.2393162;0.001797675;0.44145864;1356;22.31475;53;2.375111;0.171521;0.03908555;3.066393e-09;1.324681776e-06
"GO:0071021";"U2-type post-spliceosomal complex";0.0002797817;0.06546893;2;30.54884;0.008547009;0.00204379;0.44145864;2;0.03291261;2;60.76699;0.006472492;1;0.0002699479;0.0145771866
"GO:0071020";"post-spliceosomal complex";0.0002988853;0.06993915;2;28.59629;0.008547009;0.002325575;0.4465104;3;0.04936891;2;40.51133;0.006472492;0.6666667;0.0008010155;0.0388893792
"GO:0097060";"synaptic membrane";0.05279262;12.35347;23;1.861825;0.0982906;0.003319132;0.538179473454545;294;4.838153;24;4.960571;0.0776699;0.08163265;1.257945e-10;7.2457632e-08
"GO:0005578";"proteinaceous extracellular matrix";0.04664648;10.91528;21;1.923909;0.08974359;0.003425911;0.538179473454545;365;6.006551;21;3.496183;0.06796117;0.05753425;7.577528e-07;0.0001091164032
"GO:0044459";"plasma membrane part";0.267409;62.57371;81;1.294473;0.3461538;0.004815439;0.693423216;2619;43.09906;80;1.856189;0.2588997;0.03054601;1.623591e-08;4.67594208e-06
"GO:0098793";"presynapse";0.04318464;10.10521;19;1.880219;0.08119658;0.006691678;0.889478429538462;354;5.825531;17;2.918189;0.05501618;0.0480226;8.575247e-05;0.0066025828173913
"GO:0016328";"lateral plasma membrane";0.005536512;1.295544;5;3.859383;0.02136752;0.01027901;1;57;0.9380093;3;3.198263;0.009708738;0.05263158;0.06745342;0.979491678655462
"GO:0030425";"dendrite";0.06503266;15.21764;25;1.64283;0.1068376;0.01048256;1;480;7.899025;23;2.911752;0.07443366;0.04791667;5.073999e-06;0.000547991892
"GO:0098794";"postsynapse";0.06870555;16.0771;26;1.617207;0.1111111;0.01099173;1;421;6.928104;26;3.752831;0.08414239;0.06175772;8.32503e-09;2.877130368e-06
"GO:0030054";"cell junction";0.1410924;33.01562;46;1.39328;0.1965812;0.01194078;1;1216;20.01086;45;2.248778;0.1456311;0.03700658;2.72022e-07;4.70054016e-05
"GO:0030659";"cytoplasmic vesicle membrane";0.06624826;15.50209;25;1.612685;0.1068376;0.01296631;1;728;11.98019;24;2.003307;0.0776699;0.03296703;0.001022078;0.0452859175384615
"GO:0071818";"BAT3 complex";5.592721e-05;0.01308697;1;76.4119;0.004273504;0.01300207;1;3;0.04936891;1;20.25566;0.003236246;0.3333333;0.04856348;0.77701568
"GO:0030314";"junctional membrane complex";0.0007465194;0.1746855;2;11.44914;0.008547009;0.01354661;1;7;0.1151941;2;17.362;0.006472492;0.2857143;0.005367378;0.175738447698113
"GO:0043005";"neuron projection";0.1277769;29.89979;42;1.404692;0.1794872;0.01439214;1;989;16.27528;39;2.396272;0.1262136;0.03943377;3.868416e-07;6.07692986181818e-05
"GO:0042645";"mitochondrial nucleoid";0.00216694;0.507064;3;5.916412;0.01282051;0.0148036;1;42;0.6911647;1;1.446833;0.003236246;0.02380952;0.5022629;1
"GO:0036477";"somatodendritic compartment";0.08812351;20.6209;31;1.503329;0.1324786;0.01500365;1;685;11.27257;29;2.572617;0.09385113;0.04233577;3.435531e-06;0.0003957731712
"GO:0005886";"plasma membrane";0.4485177;104.9531;122;1.162424;0.5213675;0.01502305;1;5094;83.82841;128;1.526929;0.4142395;0.0251276;3.140406e-08;7.60427352e-06
"GO:0044425";"membrane part";0.5258765;123.0551;140;1.137702;0.5982906;0.01538849;1;6581;108.2989;149;1.375822;0.4822006;0.02264094;1.086251e-06;0.000144387825230769
"GO:0012506";"vesicle membrane";0.0673826;15.76753;25;1.585537;0.1068376;0.01569329;1;746;12.2764;24;1.95497;0.0776699;0.03217158;0.001419999;0.0613439568
"GO:1902710";"GABA receptor complex";0.002259294;0.5286749;3;5.674565;0.01282051;0.01651846;1;18;0.2962135;3;10.12783;0.009708738;0.1666667;0.002998132;0.123351716571429
"GO:0038037";"G-protein coupled receptor dimeric complex";0.0008381191;0.1961199;2;10.19785;0.008547009;0.01683832;1;7;0.1151941;2;17.362;0.006472492;0.2857143;0.005367378;0.175738447698113
"GO:0071944";"cell periphery";0.4560998;106.7274;123;1.152469;0.525641;0.01939968;1;5196;85.50695;129;1.508649;0.4174757;0.02482679;5.649803e-08;1.084762176e-05
"GO:0031012";"extracellular matrix";0.05947819;13.9179;22;1.580699;0.09401709;0.02348102;1;559;9.199073;22;2.391545;0.07119741;0.03935599;0.0001549743;0.00965436685714286
"GO:0045211";"postsynaptic membrane";0.04265519;9.981315;17;1.703182;0.07264957;0.02389382;1;224;3.686212;18;4.883062;0.05825243;0.08035714;3.520497e-08;7.60427352e-06
"GO:0048786";"presynaptic active zone";0.004686955;1.096747;4;3.647148;0.01709402;0.02517434;1;32;0.5266017;4;7.595874;0.01294498;0.125;0.001798279;0.0757908807804878
"GO:0098563";"intrinsic component of synaptic vesicle membrane";0.002713476;0.6349534;3;4.724756;0.01282051;0.02651072;1;22;0.3620387;3;8.286408;0.009708738;0.1363636;0.005390126;0.175738447698113
"GO:1990429";"peroxisomal importomer complex";0.0001178827;0.02758454;1;36.25219;0.004273504;0.02720914;1;2;0.03291261;1;30.3835;0.003236246;0.5;0.03264266;0.619851829450549
"GO:0097525";"spliceosomal snRNP complex";0.002803648;0.6560536;3;4.572797;0.01282051;0.02880336;1;62;1.020291;3;2.940338;0.009708738;0.0483871;0.08222822;1
"GO:0030658";"transport vesicle membrane";0.01535972;3.594174;8;2.225824;0.03418803;0.02943542;1;177;2.912766;8;2.746531;0.02588997;0.04519774;0.009137045;0.250616091428571
"GO:0031224";"intrinsic component of membrane";0.4493882;105.1568;120;1.141152;0.5128205;0.02998269;1;5422;89.22607;128;1.434558;0.4142395;0.02360752;1.351557e-06;0.000166820749714286
"GO:0044420";"extracellular matrix component";0.01547889;3.622059;8;2.208688;0.03418803;0.03060003;1;119;1.9583;9;4.595823;0.02912621;0.07563025;0.0001564294;0.00965436685714286
"GO:0046540";"U4/U6 x U5 tri-snRNP complex";0.00119436;0.2794803;2;7.15614;0.008547009;0.03239583;1;24;0.3949513;2;5.063916;0.006472492;0.08333333;0.05874437;0.922820648727273
"GO:0031226";"intrinsic component of plasma membrane";0.1774081;41.5135;53;1.276693;0.2264957;0.03293708;1;1665;27.39974;51;1.861331;0.1650485;0.03063063;1.070339e-05;0.00102752544
"GO:0098590";"plasma membrane region";0.1165054;27.26225;37;1.357188;0.1581197;0.03392699;1;986;16.22591;36;2.218673;0.1165049;0.03651116;6.480391e-06;0.000658712685176471
"GO:0002080";"acrosomal membrane";0.001237633;0.289606;2;6.905934;0.008547009;0.03455909;1;25;0.4114076;2;4.861359;0.006472492;0.08;0.06317752;0.956482116923077
"GO:0070436";"Grb2-EGFR complex";0.0001507093;0.03526597;1;28.35595;0.004273504;0.03465394;1;2;0.03291261;1;30.3835;0.003236246;0.5;0.03264266;0.619851829450549
"GO:0016020";"membrane";0.6476204;151.5432;165;1.088799;0.7051282;0.03676297;1;9041;148.7814;184;1.236713;0.5954693;0.02035173;3.287719e-05;0.002840589216
"GO:0097526";"spliceosomal tri-snRNP complex";0.001291725;0.3022636;2;6.61674;0.008547009;0.03733987;1;29;0.4772328;2;4.190827;0.006472492;0.06896552;0.0819542;1
"GO:0031594";"neuromuscular junction";0.007798319;1.824807;5;2.740016;0.02136752;0.03759379;1;55;0.9050967;4;4.419417;0.01294498;0.07272727;0.01270401;0.337731219692308
"GO:1990351";"transporter complex";0.0418055;9.782488;16;1.635576;0.06837607;0.03818991;1;333;5.479949;16;2.919735;0.05177994;0.04804805;0.0001372269;0.00965436685714286
